source_file,sheet,source_column,raw_township,raw_state_region,row_count,first_sample_row,top_suggestion,top_confidence,status,notes
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Pyuntasa,BAGO EAST,1,2579,Kyauktaga (Bago (East)),58.8,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktaga (Bago (East))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THONZE,BAGO WEST,1,66,Thegon (Bago (West)),66.7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TIKEKYI ,BAGO WEST,1,96,Thegon (Bago (West)),30.8,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tantabin ,BAGO EAST,1,1352,Htantabin (Bago (East)),94.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Thet Na Pin,BAGO EAST,1,2019,Thanatpin (Bago (East)),77.8,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thanatpin (Bago (East))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Thone Gwa,YANGON,1,60,Thongwa (Yangon),93.3,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thongwa (Yangon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Warr Khal Ma,AYEYARWADDY,1,359,Wakema (Ayeyarwady),62.5,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Wakema (Ayeyarwady)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Watt Latt,SAGAING,1,531,Wetlet (Sagaing),57.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Wetlet (Sagaing)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Yatsauk,SHAN,1,172,Kyaukme (Shan (North)),57.1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaukme (Shan (North))
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,zeekone,BAGO WEST,1,2717,Zigon (Bago (West)),50.0,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Zigon (Bago (West))
